id_jugador,id_club
7611,131
7611,162
7611,209
7611,276
7611,294
7611,368
7611,418
7611,683
7663,150
7663,430
7663,1049
7717,11
7717,13
7717,294
7717,368
7717,418
7717,714
7767,5
7767,13
7767,31
7767,631
7770,131
7825,5
7825,27
7825,31
7825,131
7825,398
7825,405
7825,1047
7825,1050
7825,6195
7895,13
7895,31
7895,714
7899,367
7899,681
7899,714
7899,1108
7899,4035
7914,36
7914,714
7968,131
7971,234
7971,631
7971,1082
7980,13
7980,131
7980,1049
7980,40058
7983,13
7983,1050
8006,237
8006,418
8006,714
8019,13
8019,131
8019,294
8019,336
8019,714
8060,31
8060,162
8060,449
8060,683
8060,3368
8186,36
8186,237
8186,3709
8198,336
8198,418
8198,506
8198,985
8538,13
8538,294
8538,506
8538,631
8538,1041
8538,1075
8559,29
8564,131
8564,199
8564,631
8564,720
8564,2462
8806,11
8806,131
8806,162
8806,631
8806,1047
8883,11
8883,148
8883,162
8883,281
8883,418
8883,873
9425,124
9594,58
9594,281
9659,398
9659,583
9659,762
9659,1082
9659,2282
9692,449
9828,162
9828,418
9828,631
9828,720
9832,631
9832,720
9915,36
9915,148
10471,27
10471,36
10471,82
10471,244
11111,29
11111,209
11111,1050
11111,3711
11530,141
11530,294
11530,368
11530,995
12142,12
12142,210
12142,1023
12142,1041
12142,1082
12249,13
12249,46
12249,189
12249,368
12249,1049
12282,27
12282,610
12282,985
12282,12321
12563,46
12563,141
12563,398
12563,6195
12589,371
13021,18
13021,371
13091,131
13091,162
13091,281
13091,683
13121,36
13121,124
13121,720
13225,294
13225,1049
13239,148
13239,405
13239,931
13239,1237
13389,148
13389,368
13389,449
13507,29
13556,29
13556,623
14086,29
14086,46
14086,405
14086,985
14132,418
14132,720
14221,29
14221,148
14221,399
14555,31
14555,281
14555,399
14555,405
15175,683
15175,703
15185,11
15185,27
15185,46
15185,141
15378,11
15420,5
15420,221
15420,383
15420,583
15420,631
15468,5
15468,150
15468,221
15468,1049
15511,5
15511,221
15511,281
15511,418
15568,720
15568,1075
15766,714
15799,11
15799,1050
15799,2497
15808,368
15808,714
15904,11
15904,12
15904,131
15904,610
15951,131
15951,368
15951,506
15951,583
15951,7633
15952,11
15952,12
15952,368
15952,418
15956,281
15956,368
16135,31
16135,141
16135,610
16135,931
16136,18
16136,27
16136,82
16136,417
16136,1082
16306,418
16306,720
16306,985
16315,3709
16635,13
16635,331
16635,418
16635,714
16760,631
16791,29
16791,294
16791,1049
16877,199
16911,58
16911,281
16911,371
16911,399
16911,417
16922,5
16922,16
16922,24
16922,131
16922,148
16922,430
